DateSince;BaseRate
1999-01-01;3
1999-01-04;3
1999-01-22;3
1999-04-09;2.5
1999-11-05;3
2000-02-04;3.25
2000-03-17;3.5
2000-04-28;3.75
2000-06-09;4.25
2000-06-28;4.25
2000-09-01;4.5
2000-10-06;4.75
2001-05-11;4.5
2001-08-31;4.25
2001-09-18;3.75
2001-11-09;3.25
2002-12-06;2.75
2003-03-07;2.5
2003-06-06;2
2005-12-06;2.25
2006-03-08;2.5
2006-06-15;2.75
2006-08-09;3
2006-10-11;3.25
2006-12-13;3.5
2007-03-14;3.75
2007-06-13;4
2008-07-09;4.25
2008-10-08;3.75
2008-10-09;3.75
2008-11-12;3.25
2008-12-10;2.5
2009-01-21;2
2009-03-11;1.5
2009-04-08;1.25
2009-05-13;1
2011-04-13;1.25
2011-07-13;1.5
2011-11-09;1.25
2011-12-14;1
2012-07-11;0.75
2013-05-08;0.5
2013-11-13;0.25
2014-06-11;0.15
2014-09-10;0.05
2015-12-09;0.05
2016-03-16;0
2020-05-31;0
