DateSince;BaseRate
2001-01-03;6
2001-01-31;5.5
2001-03-20;5
2001-04-18;4.5
2001-05-15;4
2001-06-27;3.75
2001-08-21;3.5
2001-09-17;3
2001-10-02;2.5
2001-11-06;2
2001-12-11;1.75
2002-11-06;1.25
2003-06-25;1
2004-06-30;1.25
2004-08-10;1.5
2004-09-21;1.75
2004-11-10;2
2004-12-14;2.25
2005-02-02;2.5
2005-03-22;2.75
2005-05-03;3
2005-06-30;3.25
2005-08-09;3.5
2005-09-20;3.75
2005-11-01;4
2005-12-13;4.25
2006-01-31;4.5
2006-03-28;4.75
2006-05-10;5
2006-06-29;5.25
2007-09-18;4.75
2007-10-31;4.5
2007-12-11;4.25
2008-01-22;3.75
2008-01-30;3
2008-03-18;2.25
2008-04-30;2
2008-10-08;1.5
2008-10-29;1
2008-12-16;0.25
2015-12-17;0.5
2016-12-15;0.75
2017-03-16;1
2017-06-15;1.25
2017-12-14;1.5
2018-03-22;1.75
2018-06-14;2
2018-09-27;2.25
2018-12-20;2.5
2019-08-01;2.25
2019-09-19;2
2019-10-31;1.75
2020-03-03;1.25
2020-03-16;0.25
2020-05-31;0.25
